Index	Wastewater Treatment Plant	County	Date	Population Served	Viral Gene Copies Per Person	Viral Gene Copies/L
2,946	Killian Creek	Lincoln	3/1/2023	15,042	75,739,860	68,200
2,947	Killian Creek	Lincoln	2/24/2023	15,042	32,425,416	313,500
2,948	Killian Creek	Lincoln	2/22/2023	15,042	7,208,416	68,200
2,949	Killian Creek	Lincoln	2/17/2023	15,042	12,595,351	110,000
2,950	Killian Creek	Lincoln	2/15/2023	15,042	73,525,846	61,600
2,951	Killian Creek	Lincoln	2/10/2023	15,042	14,666,569	94,611
2,952	Killian Creek	Lincoln	2/8/2023	15,042	4,918,000	37,224
2,953	Killian Creek	Lincoln	2/3/2023	15,042	39,349,856	51,183
2,954	Killian Creek	Lincoln	2/1/2023	15,042	28,480,165	25,850
2,955	Killian Creek	Lincoln	1/27/2023	15,042	23,634,504	27,918
2,956	Killian Creek	Lincoln	1/25/2023	15,042	17,860,927	53,768
2,957	Killian Creek	Lincoln	1/20/2023	15,042	36,674,230	89,958
2,958	Killian Creek	Lincoln	1/18/2023	15,042	54,644,446	155,100
2,959	Killian Creek	Lincoln	1/13/2023	15,042	19,169,792	54,802
2,960	Killian Creek	Lincoln	1/11/2023	15,042	1,623,721	15,510
2,961	Killian Creek	Lincoln	1/6/2023	15,042	41,461,083	74,448
2,962	Kinston (CDC Contract)	Lenoir,greene	5/3/2023	20,484	19,835,296	23,436
2,963	Kinston (CDC Contract)	Lenoir,greene	5/1/2023	20,484	30,014,819	34,929
2,964	Kinston (CDC Contract)	Lenoir,greene	4/26/2023	20,484	40,925,160	52,478
2,965	Kinston (CDC Contract)	Lenoir,greene	4/24/2023	20,484	85,859,532	104,879
2,966	Kinston (CDC Contract)	Lenoir,greene	4/20/2023	20,484	32,600,140	40,184
2,967	Kinston (CDC Contract)	Lenoir,greene	4/18/2023	20,484	87,762,527	97,920
2,968	Kinston (CDC Contract)	Lenoir,greene	4/13/2023	20,484	161,404,134	211,479
2,969	Kinston (CDC Contract)	Lenoir,greene	4/11/2023	20,484	130,035,333	175,040
2,970	Kinston (CDC Contract)	Lenoir,greene	4/6/2023	20,484	152,782,620	264,139
2,971	Kinston (CDC Contract)	Lenoir,greene	4/4/2023	20,484	355,721,211	594,111
2,972	Kinston (CDC Contract)	Lenoir,greene	3/30/2023	20,484	72,680,572	87,986
2,973	Kinston (CDC Contract)	Lenoir,greene	3/28/2023	20,484	131,783,768	151,728
2,974	Kinston (CDC Contract)	Lenoir,greene	3/23/2023	20,484	251,008,427	445,340
2,975	Kinston (CDC Contract)	Lenoir,greene	3/21/2023	20,484	188,261,037	328,626
2,976	Kinston (CDC Contract)	Lenoir,greene	3/16/2023	20,484	139,006,637	234,333
2,977	Kinston (CDC Contract)	Lenoir,greene	3/14/2023	20,484	186,411,811	322,279
2,978	Kinston (CDC Contract)	Lenoir,greene	3/9/2023	20,484	149,993,220	262,673
2,979	Kinston (CDC Contract)	Lenoir,greene	3/7/2023	20,484	228,005,166	378,469
2,980	Kinston (CDC Contract)	Lenoir,greene	3/2/2023	20,484	149,098,074	261,106
2,981	Kinston (CDC Contract)	Lenoir,greene	2/28/2023	20,484	243,813,019	432,574
2,982	Kinston (CDC Contract)	Lenoir,greene	2/24/2023	20,484	271,543,639	457,760
2,983	Kinston (CDC Contract)	Lenoir,greene	2/21/2023	20,484	674,803,963	992,277
2,984	Kinston (CDC Contract)	Lenoir,greene	2/16/2023	20,484	989,631,673	1,169,260
2,985	Kinston (CDC Contract)	Lenoir,greene	2/14/2023	20,484	701,280,058	797,237
2,986	Kinston (CDC Contract)	Lenoir,greene	2/10/2023	20,484	224,837,606	373,211
2,987	Kinston (CDC Contract)	Lenoir,greene	2/7/2023	20,484	520,893,790	695,981
2,988	Kinston (CDC Contract)	Lenoir,greene	2/2/2023	20,484	1,220,078,838	1,618,195
2,989	Kinston (CDC Contract)	Lenoir,greene	1/31/2023	20,484	533,327,377	741,903
2,990	Kinston (CDC Contract)	Lenoir,greene	1/26/2023	20,484	485,412,055	759,167
2,991	Kinston (CDC Contract)	Lenoir,greene	1/24/2023	20,484	411,402,636	684,994
2,992	Kinston (CDC Contract)	Lenoir,greene	1/20/2023	20,484	530,674,653	886,311
2,993	Kinston (CDC Contract)	Lenoir,greene	1/18/2023	20,484	360,015,016	636,652
2,994	Kinston (CDC Contract)	Lenoir,greene	1/12/2023	20,484	415,260,687	796,847
2,995	Kinston (CDC Contract)	Lenoir,greene	1/10/2023	20,484	574,569,514	983,917
2,996	Kinston (CDC Contract)	Lenoir,greene	1/6/2023	20,484	1,509,991,834	2,679,031
2,997	Kinston (CDC Contract)	Lenoir,greene	1/5/2023	20,484	787,580,095	1,315,384
2,998	Kinston (CDC Contract)	Lenoir,greene	12/30/2022	20,484	1,438,276,242	2,470,784
2,999	Kinston (CDC Contract)	Lenoir,greene	12/29/2022	20,484	1,234,153,121	1,886,552
3,000	Kinston (CDC Contract)	Lenoir,greene	12/22/2022	20,484	427,528,939	690,595
3,001	Kinston (CDC Contract)	Lenoir,greene	12/21/2022	20,484	1,409,872,542	2,018,325
3,002	Kinston (CDC Contract)	Lenoir,greene	12/13/2022	20,484	629,574,816	956,974
3,003	Kinston (CDC Contract)	Lenoir,greene	12/12/2022	20,484	243,345,405	391,910
3,004	Kinston (CDC Contract)	Lenoir,greene	12/9/2022	20,484	667,073,325	1,131,582
3,005	Kinston (CDC Contract)	Lenoir,greene	12/1/2022	20,484	227,457,029	384,638
3,006	Kinston (CDC Contract)	Lenoir,greene	11/29/2022	20,484	318,709,980	571,073
3,007	Kinston (CDC Contract)	Lenoir,greene	11/22/2022	20,484	129,028,096	214,175
3,008	Kinston (CDC Contract)	Lenoir,greene	11/21/2022	20,484	129,123,633	163,637
3,009	Kinston (CDC Contract)	Lenoir,greene	11/17/2022	20,484	192,613,027	239,057
3,010	Kinston (CDC Contract)	Lenoir,greene	11/15/2022	20,484	79,736,651	128,036
3,011	Kinston (CDC Contract)	Lenoir,greene	11/10/2022	20,484	581,709,011	965,586
3,012	Kinston (CDC Contract)	Lenoir,greene	11/7/2022	20,484	90,885,946	127,413
3,013	Kinston (CDC Contract)	Lenoir,greene	11/3/2022	20,484	18,146,593	0
3,014	Kinston (CDC Contract)	Lenoir,greene	11/1/2022	20,484	18,319,955	0
3,015	Kinston (CDC Contract)	Lenoir,greene	10/27/2022	20,484	61,563,317	90,281
3,016	Kinston (CDC Contract)	Lenoir,greene	10/25/2022	20,484	74,138,391	128,175
3,017	Kinston (CDC Contract)	Lenoir,greene	10/20/2022	20,484	2,296,076	0
3,018	Kinston (CDC Contract)	Lenoir,greene	10/18/2022	20,484	326,168,399	505,731
3,019	Kinston (CDC Contract)	Lenoir,greene	10/13/2022	20,484	372,771,369	494,408
3,020	Kinston (CDC Contract)	Lenoir,greene	10/11/2022	20,484	164,945,740	268,040
3,021	Kinston (CDC Contract)	Lenoir,greene	10/6/2022	20,484	1,297,500,545	1,720,879
3,022	Kinston (CDC Contract)	Lenoir,greene	10/4/2022	20,484	490,613,126	578,402
3,023	Kinston (CDC Contract)	Lenoir,greene	9/29/2022	20,484	163,816,005	217,804
3,024	Kinston (CDC Contract)	Lenoir,greene	9/27/2022	20,484	164,192,675	228,406
3,025	Kinston (CDC Contract)	Lenoir,greene	9/16/2022	20,484	223,611,019	284,045
3,026	Kinston (CDC Contract)	Lenoir,greene	9/14/2022	20,484	235,914,310	306,141
3,027	Kinston (CDC Contract)	Lenoir,greene	9/9/2022	20,484	314,539,510	417,175
3,028	Kinston (CDC Contract)	Lenoir,greene	9/8/2022	20,484	569,240,681	766,254
3,029	Kinston (CDC Contract)	Lenoir,greene	8/31/2022	20,484	381,530,316	491,567
3,030	Kinston (CDC Contract)	Lenoir,greene	8/30/2022	20,484	928,832,507	1,193,873
3,031	Kinston (CDC Contract)	Lenoir,greene	8/24/2022	20,484	769,936,000	975,730
3,032	Kinston (CDC Contract)	Lenoir,greene	8/23/2022	20,484	374,548,593	486,043
3,033	Kinston (CDC Contract)	Lenoir,greene	8/18/2022	20,484	347,610,963	455,456
3,034	Kinston (CDC Contract)	Lenoir,greene	8/17/2022	20,484	363,703,320	508,557
3,035	Kinston (CDC Contract)	Lenoir,greene	8/10/2022	20,484	629,687,372	837,208
3,036	Kinston (CDC Contract)	Lenoir,greene	8/8/2022	20,484	953,282,677	1,243,016
3,037	Kinston (CDC Contract)	Lenoir,greene	8/4/2022	20,484	1,177,694,820	1,475,204
3,038	Kinston (CDC Contract)	Lenoir,greene	8/2/2022	20,484	1,300,115,648	1,808,570
3,039	Kinston (CDC Contract)	Lenoir,greene	7/28/2022	20,484	2,125,583,785	2,596,435
3,040	Kinston (CDC Contract)	Lenoir,greene	7/26/2022	20,484	1,878,481,753	2,209,796
3,041	Kinston (CDC Contract)	Lenoir,greene	7/20/2022	20,484	710,282,980	902,246
3,042	Kinston (CDC Contract)	Lenoir,greene	7/19/2022	20,484	1,736,158,342	2,263,832
3,043	Kinston (CDC Contract)	Lenoir,greene	7/14/2022	20,484	987,765,396	1,595,556
3,044	Kinston (CDC Contract)	Lenoir,greene	7/12/2022	20,484	841,403,856	1,233,903
3,045	Kinston (CDC Contract)	Lenoir,greene	7/8/2022	20,484	685,731,648	1,302,004
3,046	Kinston (CDC Contract)	Lenoir,greene	7/6/2022	20,484	1,846,143,562	2,535,550
3,047	Kinston (CDC Contract)	Lenoir,greene	6/30/2022	20,484	821,317,171	1,148,426
3,048	Kinston (CDC Contract)	Lenoir,greene	6/28/2022	20,484	797,603,259	1,025,198
3,049	Kinston (CDC Contract)	Lenoir,greene	6/23/2022	20,484	440,026,482	665,118
3,050	Kinston (CDC Contract)	Lenoir,greene	6/21/2022	20,484	666,244,328	915,040
3,051	Kinston (CDC Contract)	Lenoir,greene	6/16/2022	20,484	701,253,066	968,036
3,052	Kinston (CDC Contract)	Lenoir,greene	6/14/2022	20,484	647,332,623	850,224
3,053	Kinston (CDC Contract)	Lenoir,greene	6/9/2022	20,484	480,605,422	591,070
3,054	Kinston (CDC Contract)	Lenoir,greene	6/7/2022	20,484	467,129,415	747,866
3,055	Kinston (CDC Contract)	Lenoir,greene	6/3/2022	20,484	665,524,211	747,171
3,056	Kinston (CDC Contract)	Lenoir,greene	5/31/2022	20,484	648,993,783	828,281
3,057	Laurinburg	Scotland	5/16/2023	15,527	1,552,731	0
3,058	Laurinburg	Scotland	5/11/2023	15,527	4,526,446	6,226
3,059	Laurinburg	Scotland	5/9/2023	15,527	5,229,491	6,880
3,060	Laurinburg	Scotland	5/4/2023	15,527	3,062,598	0
3,061	Laurinburg	Scotland	5/2/2023	15,527	2,341,955	0
3,062	Laurinburg	Scotland	4/27/2023	15,527	8,555,499	8,330
3,063	Laurinburg	Scotland	4/25/2023	15,527	12,573,369	15,080
3,064	Laurinburg	Scotland	4/20/2023	15,527	12,509,854	13,546
3,065	Laurinburg	Scotland	4/18/2023	15,527	2,686,471	0
3,066	Laurinburg	Scotland	4/13/2023	15,527	2,113,171	0
3,067	Laurinburg	Scotland	4/11/2023	15,527	350,581	0
3,068	Laurinburg	Scotland	4/6/2023	15,527	249,898	0
3,069	Laurinburg	Scotland	4/4/2023	15,527	1,210,588	0
3,070	Laurinburg	Scotland	3/30/2023	15,527	252,795	0
3,071	Laurinburg	Scotland	3/28/2023	15,527	217,302	0
3,072	Laurinburg	Scotland	3/23/2023	15,527	276,698	0
3,073	Laurinburg	Scotland	3/21/2023	15,527	6,424,945	8,447
3,074	Laurinburg	Scotland	3/16/2023	15,527	5,360,114	6,662
3,075	Laurinburg	Scotland	3/14/2023	15,527	3,809,572	5,226
3,076	Laurinburg	Scotland	3/9/2023	15,527	2,002,595	3,437
3,077	Laurinburg	Scotland	3/7/2023	15,527	3,174,915	4,841
3,078	Laurinburg	Scotland	3/2/2023	15,527	2,588,743	3,674
3,079	Laurinburg	Scotland	2/28/2023	15,527	6,898,283	9,128
3,080	Laurinburg	Scotland	2/23/2023	15,527	476,829	0
3,081	Laurinburg	Scotland	2/21/2023	15,527	7,228,390	9,500
3,082	Laurinburg	Scotland	2/16/2023	15,527	2,088,136	2,872
3,083	Laurinburg	Scotland	2/14/2023	15,527	5,902,269	7,500
3,084	Laurinburg	Scotland	2/7/2023	15,527	13,532,457	15,492
3,085	Laurinburg	Scotland	2/2/2023	15,527	12,039,491	14,582
3,086	Laurinburg	Scotland	1/31/2023	15,527	33,513,236	47,566
3,087	Laurinburg	Scotland	1/26/2023	15,527	87,596,891	109,545
3,088	Laurinburg	Scotland	1/24/2023	15,527	38,512,428	39,592
3,089	Laurinburg	Scotland	1/19/2023	15,527	6,900,449	8,374
3,090	Laurinburg	Scotland	1/12/2023	15,527	6,217,849	8,227
3,091	Laurinburg	Scotland	1/10/2023	15,527	13,069,947	19,856
3,092	Laurinburg	Scotland	1/5/2023	15,527	71,529,699	98,457
3,093	Laurinburg	Scotland	12/29/2022	15,527	3,637,241	6,403
3,094	Laurinburg	Scotland	12/27/2022	15,527	2,313,439	4,108
3,095	Laurinburg	Scotland	12/22/2022	15,527	16,753,421	55,419
3,096	Laurinburg	Scotland	12/20/2022	15,527	42,220,185	87,464
3,097	Laurinburg	Scotland	12/15/2022	15,527	78,794,607	103,923
3,098	Laurinburg	Scotland	12/13/2022	15,527	4,303,836	8,367
3,099	Laurinburg	Scotland	12/8/2022	15,527	4,976,487	9,236
3,100	Laurinburg	Scotland	12/6/2022	15,527	9,879,145	18,503
3,101	Laurinburg	Scotland	12/1/2022	15,527	3,475,360	6,364
3,102	Laurinburg	Scotland	11/29/2022	15,527	7,495,394	14,571
3,103	Laurinburg	Scotland	11/24/2022	15,527	3,357,375	6,955
3,104	Laurinburg	Scotland	11/15/2022	15,527	160,079	0
3,105	Laurinburg	Scotland	11/10/2022	15,527	1,449,379	3,162
3,106	Laurinburg	Scotland	11/8/2022	15,527	4,221,657	9,260
3,107	Laurinburg	Scotland	11/3/2022	15,527	5,066,594	15,986
3,108	Laurinburg	Scotland	11/1/2022	15,527	14,509,957	53,619
3,109	Laurinburg	Scotland	10/27/2022	15,527	3,221,356	10,920
3,110	Laurinburg	Scotland	10/25/2022	15,527	1,543,220	3,000
3,111	Laurinburg	Scotland	10/20/2022	15,527	2,965,714	5,111
3,112	Laurinburg	Scotland	10/18/2022	15,527	5,955,950	8,116
3,113	Laurinburg	Scotland	10/13/2022	15,527	2,924,241	3,857
3,114	Laurinburg	Scotland	10/11/2022	15,527	1,391,052	0
3,115	Laurinburg	Scotland	10/6/2022	15,527	3,818,332	5,419
3,116	Laurinburg	Scotland	10/4/2022	15,527	7,398,116	9,543
3,117	Laurinburg	Scotland	9/29/2022	15,527	3,164,512	4,031
3,118	Laurinburg	Scotland	9/27/2022	15,527	22,020,612	30,108
3,119	Laurinburg	Scotland	9/22/2022	15,527	15,643,361	20,632
3,120	Laurinburg	Scotland	9/20/2022	15,527	2,431,852	4,750
3,121	Laurinburg	Scotland	9/15/2022	15,527	3,468,244	7,992
3,122	Laurinburg	Scotland	9/13/2022	15,527	13,814,042	28,474
3,123	Laurinburg	Scotland	9/8/2022	15,527	11,199,428	21,772
3,124	Laurinburg	Scotland	9/1/2022	15,527	152,112	0
3,125	Laurinburg	Scotland	8/30/2022	15,527	3,792,226	5,000
3,126	Laurinburg	Scotland	8/25/2022	15,527	169,061	0
3,127	Laurinburg	Scotland	8/18/2022	15,527	215,854	0
3,128	Laurinburg	Scotland	8/16/2022	15,527	22,866,552	42,060
3,129	Laurinburg	Scotland	8/11/2022	15,527	16,164,296	28,579
3,130	Laurinburg	Scotland	8/9/2022	15,527	56,506,813	109,330
3,131	Laurinburg	Scotland	8/4/2022	15,527	23,106,759	39,657
3,132	Laurinburg	Scotland	8/2/2022	15,527	45,054,377	66,238
3,133	Laurinburg	Scotland	7/28/2022	15,527	79,891,587	137,113
3,134	Laurinburg	Scotland	7/26/2022	15,527	9,945,996	17,070
3,135	Laurinburg	Scotland	7/21/2022	15,527	30,409,144	43,310
3,136	Laurinburg	Scotland	7/19/2022	15,527	172,393	0
3,137	Laurinburg	Scotland	7/14/2022	15,527	4,945,708	7,194
3,138	Laurinburg	Scotland	7/12/2022	15,527	7,072,038	10,037
3,139	Laurinburg	Scotland	7/7/2022	15,527	159,911,900	219,374
3,140	Laurinburg	Scotland	6/30/2022	15,527	18,794,184	24,788
3,141	Laurinburg	Scotland	6/28/2022	15,527	12,396,484	18,031
3,142	Laurinburg	Scotland	6/23/2022	15,527	14,425,237	19,087
3,143	Laurinburg	Scotland	6/21/2022	15,527	24,238,216	43,039
3,144	Laurinburg	Scotland	6/16/2022	15,527	24,173,385	35,161
3,145	Laurinburg	Scotland	6/14/2022	15,527	12,567,988	17,776
3,146	Laurinburg	Scotland	6/9/2022	15,527	24,991,912	32,962
3,147	Laurinburg	Scotland	6/7/2022	15,527	4,625,679	9,487
3,148	Laurinburg	Scotland	6/2/2022	15,527	12,635,638	24,448
3,149	Laurinburg	Scotland	5/26/2022	15,527	14,125,147	20,767
3,150	Laurinburg	Scotland	5/24/2022	15,527	29,788,353	52,440
3,151	Laurinburg	Scotland	5/19/2022	15,527	18,318,232	26,739
3,152	Laurinburg	Scotland	5/17/2022	15,527	14,480,638	19,865
3,153	Laurinburg	Scotland	5/12/2022	15,527	54,013,539	71,239
3,154	Laurinburg	Scotland	5/10/2022	15,527	2,069,744	2,739
3,155	Laurinburg	Scotland	5/5/2022	15,527	215,854	0
3,156	Laurinburg	Scotland	5/3/2022	15,527	215,854	0
3,157	Laurinburg	Scotland	4/28/2022	15,527	14,544,826	19,183
3,158	Laurinburg	Scotland	4/26/2022	15,527	4,869,637	6,423
3,159	Laurinburg	Scotland	4/21/2022	15,527	24,846,019	29,799
3,160	Laurinburg	Scotland	4/19/2022	15,527	3,926,923	4,250
3,161	Laurinburg	Scotland	4/14/2022	15,527	2,205,123	2,250
3,162	Laurinburg	Scotland	4/12/2022	15,527	234,686	0
3,163	Laurinburg	Scotland	4/7/2022	15,527	278,871	0
3,164	Laurinburg	Scotland	4/5/2022	15,527	167,323	0
3,165	Laurinburg	Scotland	3/31/2022	15,527	215,854	0
3,166	Laurinburg	Scotland	3/29/2022	15,527	248,449	0
3,167	Laurinburg	Scotland	3/24/2022	15,527	288,288	0
3,168	Laurinburg	Scotland	3/22/2022	15,527	304,948	0
3,169	Laurinburg	Scotland	3/15/2022	15,527	208,610	0
3,170	Laurinburg	Scotland	3/10/2022	15,527	2,913,627	3,464
3,171	Laurinburg	Scotland	3/8/2022	15,527	204,264	0
3,172	Laurinburg	Scotland	3/3/2022	15,527	2,874,674	3,791
3,173	Laurinburg	Scotland	3/1/2022	15,527	2,525,143	3,464
3,174	Laurinburg	Scotland	2/24/2022	15,527	2,076,420	2,739
3,175	Laurinburg	Scotland	2/22/2022	15,527	2,120,197	3,717
3,176	Laurinburg	Scotland	2/17/2022	15,527	1,160,377	0
3,177	Laurinburg	Scotland	2/15/2022	15,527	6,318,657	9,744
3,178	Laurinburg	Scotland	2/10/2022	15,527	2,652,719	4,387
3,179	Laurinburg	Scotland	2/8/2022	15,527	32,984,528	52,440
3,180	Laurinburg	Scotland	2/3/2022	15,527	13,005,888	18,459
3,181	Laurinburg	Scotland	2/1/2022	15,527	102,737,556	145,817
3,182	Laurinburg	Scotland	1/27/2022	15,527	56,089,098	73,739
3,183	Laurinburg	Scotland	1/20/2022	15,527	130,081,300	169,926
3,184	Laurinburg	Scotland	1/18/2022	15,527	88,608,047	113,935
3,185	Laurinburg	Scotland	1/13/2022	15,527	47,268,877	76,035
3,186	Laurinburg	Scotland	1/11/2022	15,527	255,091,489	388,973
3,187	Laurinburg	Scotland	1/6/2022	15,527	57,012,289	99,937
3,188	Laurinburg	Scotland	12/28/2021	15,527	100,416,432	195,208
3,189	Laurinburg	Scotland	12/23/2021	15,527	8,225,596	14,543
3,190	Laurinburg	Scotland	12/16/2021	15,527	9,003,915	18,466
3,191	Laurinburg	Scotland	12/14/2021	15,527	10,768,517	23,005
3,192	Laurinburg	Scotland	12/9/2021	15,527	17,172,399	32,311
3,193	Laurinburg	Scotland	12/2/2021	15,527	10,604,315	18,830
3,194	Laurinburg	Scotland	11/30/2021	15,527	2,780,173	4,873
3,195	Laurinburg	Scotland	11/25/2021	15,527	4,971,462	9,186
3,196	Laurinburg	Scotland	11/23/2021	15,527	4,726,484	8,393
3,197	Laurinburg	Scotland	11/16/2021	15,527	977,542	0
3,198	Laurinburg	Scotland	11/11/2021	15,527	5,764,168	11,205
3,199	Laurinburg	Scotland	11/9/2021	15,527	19,787,104	36,725
3,200	Laurinburg	Scotland	11/4/2021	15,527	6,117,716	11,726
3,201	Laurinburg	Scotland	11/2/2021	15,527	6,958,133	11,843
3,202	Laurinburg	Scotland	10/28/2021	15,527	13,259,103	16,186
3,203	Laurinburg	Scotland	10/26/2021	15,527	9,853,777	19,156
3,204	Laurinburg	Scotland	10/21/2021	15,527	11,612,780	32,404
3,205	Laurinburg	Scotland	10/19/2021	15,527	24,937,163	42,094
3,206	Laurinburg	Scotland	10/14/2021	15,527	8,031,654	15,112
3,207	Laurinburg	Scotland	10/12/2021	15,527	3,092,038	6,856
3,208	Laurinburg	Scotland	10/7/2021	15,527	7,189,056	13,780
3,209	Laurinburg	Scotland	10/6/2021	15,527	12,832,117	22,786
3,210	Laurinburg	Scotland	9/30/2021	15,527	11,579,240	21,887
3,211	Laurinburg	Scotland	9/28/2021	15,527	13,284,355	29,940
3,212	Laurinburg	Scotland	9/23/2021	15,527	10,327,107	28,816
3,213	Laurinburg	Scotland	9/21/2021	15,527	19,307,089	41,681
3,214	Laurinburg	Scotland	9/16/2021	15,527	34,451,071	67,291
3,215	Laurinburg	Scotland	9/14/2021	15,527	25,747,419	29,336
3,216	Laurinburg	Scotland	9/9/2021	15,527	32,811,721	35,795
3,217	Laurinburg	Scotland	9/7/2021	15,527	55,777,924	89,722
3,218	Laurinburg	Scotland	9/2/2021	15,527	66,580,557	130,048
3,219	Laurinburg	Scotland	8/31/2021	15,527	15,225,430	48,412
3,220	Laurinburg	Scotland	8/26/2021	15,527	33,167,619	91,924
3,221	Laurinburg	Scotland	8/24/2021	15,527	6,856,831	21,973
3,222	Laurinburg	Scotland	8/19/2021	15,527	7,584,491	17,093
3,223	Laurinburg	Scotland	8/17/2021	15,527	13,106,028	19,131
3,224	Laurinburg	Scotland	8/12/2021	15,527	10,559,186	33,062
3,225	Laurinburg	Scotland	8/10/2021	15,527	12,552,289	27,982
3,226	Laurinburg	Scotland	8/5/2021	15,527	4,188,176	9,387
3,227	Laurinburg	Scotland	8/3/2021	15,527	6,857,349	19,134
3,228	Laurinburg	Scotland	7/29/2021	15,527	5,027,434	17,185
3,229	Laurinburg	Scotland	7/27/2021	15,527	5,504,957	12,339
3,230	Laurinburg	Scotland	7/22/2021	15,527	836,068	0
3,231	Laurinburg	Scotland	7/20/2021	15,527	16,837,616	24,233
3,232	Laurinburg	Scotland	7/15/2021	15,527	517,393	0
3,233	Laurinburg	Scotland	7/13/2021	15,527	3,674,548	7,850
3,234	Laurinburg	Scotland	7/8/2021	15,527	720,692	0
3,235	Laurinburg	Scotland	7/6/2021	15,527	2,626,804	5,701
3,236	Laurinburg	Scotland	7/1/2021	15,527	156,458	0
3,237	Laurinburg	Scotland	6/29/2021	15,527	917,268	0
3,238	Laurinburg	Scotland	6/24/2021	15,527	166,598	0
3,239	Laurinburg	Scotland	6/23/2021	15,527	14,442,542	20,498
3,240	Laurinburg	Scotland	6/17/2021	15,527	1,970,686	3,354
3,241	Lincolnton	Lincoln	5/16/2023	11,000	2,981,835	5,170
3,242	Lincolnton	Lincoln	5/13/2023	11,000	10,368,589	14,300
3,243	Lincolnton	Lincoln	5/9/2023	11,000	2,660,152	4,510
3,244	Lincolnton	Lincoln	5/6/2023	11,000	3,431,087	4,840
3,245	Lincolnton	Lincoln	5/2/2023	11,000	5,356,492	7,260
3,246	Lincolnton	Lincoln	4/29/2023	11,000	22,947,473	12,100
3,247	Lincolnton	Lincoln	4/25/2023	11,000	7,403,561	12,210
3,248	Lincolnton	Lincoln	4/22/2023	11,000	28,432,139	38,500
3,249	Lincolnton	Lincoln	4/18/2023	11,000	738,153	0
3,250	Lincolnton	Lincoln	4/15/2023	11,000	16,032,683	19,800
3,251	Lincolnton	Lincoln	4/11/2023	11,000	30,852,524	35,200
3,252	Lincolnton	Lincoln	4/7/2023	11,000	27,464,970	38,500
3,253	Lincolnton	Lincoln	4/4/2023	11,000	29,913,745	48,400
3,254	Lincolnton	Lincoln	4/1/2023	11,000	26,338,813	38,500
3,255	Long Creek - Two Rivers	Gaston	5/16/2023	68,700	1,076,442	35,200
3,256	Long Creek - Two Rivers	Gaston	5/13/2023	68,700	526,948	17,710
3,257	Long Creek - Two Rivers	Gaston	5/9/2023	68,700	13,773,732	33,330
3,258	Long Creek - Two Rivers	Gaston	5/6/2023	68,700	36,148,090	78,100
3,259	Long Creek - Two Rivers	Gaston	5/2/2023	68,700	7,917,244	12,100
3,260	Long Creek - Two Rivers	Gaston	4/29/2023	68,700	12,227,558	8,470
3,261	Long Creek - Two Rivers	Gaston	4/25/2023	68,700	42,760,694	93,500
3,262	Long Creek - Two Rivers	Gaston	4/22/2023	68,700	22,983,494	52,800
3,263	Long Creek - Two Rivers	Gaston	4/18/2023	68,700	3,948,755	8,470
3,264	Long Creek - Two Rivers	Gaston	4/15/2023	68,700	7,636,921	15,400
3,265	Long Creek - Two Rivers	Gaston	4/11/2023	68,700	21,419,744	34,100
3,266	Long Creek - Two Rivers	Gaston	4/7/2023	68,700	11,128,084	29,700
3,267	Long Creek - Two Rivers	Gaston	4/4/2023	68,700	9,837,808	26,400
3,268	Long Creek - Two Rivers	Gaston	4/1/2023	68,700	14,801,079	40,700
3,269	Long Creek - Two Rivers	Gaston	3/28/2023	68,700	17,001,967	35,200
3,270	Long Creek - Two Rivers	Gaston	3/25/2023	68,700	23,549,778	58,300
3,271	Long Creek - Two Rivers	Gaston	3/21/2023	68,700	8,240,237	18,260
3,272	Long Creek - Two Rivers	Gaston	3/14/2023	68,700	4,933,451	12,540
3,273	Long Creek - Two Rivers	Gaston	3/11/2023	68,700	4,002,110	10,230
3,274	Long Creek - Two Rivers	Gaston	3/7/2023	68,700	11,576,044	27,720
3,275	Long Creek - Two Rivers	Gaston	3/4/2023	68,700	5,302,205	11,880
3,276	Long Creek - Two Rivers	Gaston	2/28/2023	68,700	39,440,452	107,800
3,277	Long Creek - Two Rivers	Gaston	2/25/2023	68,700	55,313,124	185,900
3,278	Long Creek - Two Rivers	Gaston	2/21/2023	68,700	12,546,369	33,000
3,279	Long Creek - Two Rivers	Gaston	2/18/2023	68,700	37,602,742	103,400
3,280	Long Creek - Two Rivers	Gaston	2/15/2023	68,700	25,747,851	45,496
3,281	Long Creek - Two Rivers	Gaston	2/11/2023	68,700	6,748,838	27,401
3,282	Long Creek - Two Rivers	Gaston	2/7/2023	68,700	10,873,460	25,850
3,283	Long Creek - Two Rivers	Gaston	2/4/2023	68,700	24,240,095	43,428
3,284	Long Creek - Two Rivers	Gaston	1/31/2023	68,700	13,407,770	27,918
3,285	Long Creek - Two Rivers	Gaston	1/24/2023	68,700	20,371,285	34,122
3,286	Long Creek - Two Rivers	Gaston	1/21/2023	68,700	9,093,027	21,714
3,287	Long Creek - Two Rivers	Gaston	1/18/2023	68,700	16,496,437	35,156
3,288	Long Creek - Two Rivers	Gaston	1/12/2023	68,700	32,532,525	66,176
3,289	Long Creek - Two Rivers	Gaston	1/10/2023	68,700	4,218,344	8,272
3,290	Marion	Mcdowell	5/16/2023	8,459	12,830,638	37,044
3,291	Marion	Mcdowell	5/11/2023	8,459	5,398,327	14,076
