"Treatment plant","Date of reporting","Week of reporting","COVID-19 cases, estimate"
"Taskila","2021-01-10","2021-W01","121"
"Toikansuo","2021-01-10","2021-W01","9"
"Viikinmäki","2021-01-10","2021-W01","624"
"Viinikanlahti","2021-01-10","2021-W01","40"
"Aggregated","2021-01-03","2020-W53","1 231"
"Alakorkalo","2021-01-03","2020-W53","10"
"Alheda","2021-01-03","2020-W53","9"
"Kakolanmäki","2021-01-03","2020-W53","167"
"Kuhasalo","2021-01-03","2020-W53","12"
"Lehtoniemi","2021-01-03","2020-W53","13"
"Luotsinmäki","2021-01-03","2020-W53","9"
"Mäkikylä","2021-01-03","2020-W53","18"
"Nenäinniemi","2021-01-03","2020-W53","63"
"Paroinen","2021-01-03","2020-W53","21"
"Pått","2021-01-03","2020-W53","26"
"Seinäjoenkeskuspuhdistamo","2021-01-03","2020-W53",".."
"Suomenoja","2021-01-03","2020-W53","214"
"Taskila","2021-01-03","2020-W53","82"
"Toikansuo","2021-01-03","2020-W53","9"
"Viikinmäki","2021-01-03","2020-W53","622"
"Viinikanlahti","2021-01-03","2020-W53","32"
"Aggregated","2020-12-27","2020-W52","1 169"
"Alakorkalo","2020-12-27","2020-W52",".."
"Alheda","2020-12-27","2020-W52",".."
"Kakolanmäki","2020-12-27","2020-W52","196"
"Kuhasalo","2020-12-27","2020-W52","8"
"Lehtoniemi","2020-12-27","2020-W52","9"
"Luotsinmäki","2020-12-27","2020-W52","8"
"Mäkikylä","2020-12-27","2020-W52","9"
"Nenäinniemi","2020-12-27","2020-W52","39"
"Paroinen","2020-12-27","2020-W52","19"
"Pått","2020-12-27","2020-W52","11"
"Seinäjoenkeskuspuhdistamo","2020-12-27","2020-W52",".."
"Suomenoja","2020-12-27","2020-W52","250"
"Taskila","2020-12-27","2020-W52","31"
"Toikansuo","2020-12-27","2020-W52","8"
"Viikinmäki","2020-12-27","2020-W52","593"
"Viinikanlahti","2020-12-27","2020-W52","32"
"Aggregated","2020-12-20","2020-W51","1 695"
"Alakorkalo","2020-12-20","2020-W51","5"
"Alheda","2020-12-20","2020-W51",".."
"Kakolanmäki","2020-12-20","2020-W51","346"
"Kuhasalo","2020-12-20","2020-W51","19"
"Lehtoniemi","2020-12-20","2020-W51","8"
"Luotsinmäki","2020-12-20","2020-W51","10"
"Mäkikylä","2020-12-20","2020-W51","12"
"Nenäinniemi","2020-12-20","2020-W51","68"
"Paroinen","2020-12-20","2020-W51","32"
"Pått","2020-12-20","2020-W51","53"
"Seinäjoenkeskuspuhdistamo","2020-12-20","2020-W51",".."
"Suomenoja","2020-12-20","2020-W51","323"
"Taskila","2020-12-20","2020-W51","47"
"Toikansuo","2020-12-20","2020-W51","6"
"Viikinmäki","2020-12-20","2020-W51","787"
"Viinikanlahti","2020-12-20","2020-W51","46"
"Aggregated","2020-12-13","2020-W50","2 045"
"Alakorkalo","2020-12-13","2020-W50","11"
"Alheda","2020-12-13","2020-W50","6"
"Kakolanmäki","2020-12-13","2020-W50","358"
"Kuhasalo","2020-12-13","2020-W50","21"
"Lehtoniemi","2020-12-13","2020-W50","11"
"Luotsinmäki","2020-12-13","2020-W50","14"
"Mäkikylä","2020-12-13","2020-W50","20"
"Nenäinniemi","2020-12-13","2020-W50","79"
"Paroinen","2020-12-13","2020-W50","39"
"Pått","2020-12-13","2020-W50","23"
"Seinäjoenkeskuspuhdistamo","2020-12-13","2020-W50","5"
"Suomenoja","2020-12-13","2020-W50","384"
"Taskila","2020-12-13","2020-W50","81"
"Toikansuo","2020-12-13","2020-W50","9"
"Viikinmäki","2020-12-13","2020-W50","1 014"
"Viinikanlahti","2020-12-13","2020-W50","75"
"Aggregated","2020-12-06","2020-W49","1 954"
"Alakorkalo","2020-12-06","2020-W49","13"
"Alheda","2020-12-06","2020-W49","9"
"Kakolanmäki","2020-12-06","2020-W49","225"
"Kuhasalo","2020-12-06","2020-W49","13"
"Lehtoniemi","2020-12-06","2020-W49","6"
"Luotsinmäki","2020-12-06","2020-W49","8"
"Mäkikylä","2020-12-06","2020-W49","21"
"Nenäinniemi","2020-12-06","2020-W49","60"
"Paroinen","2020-12-06","2020-W49","32"
"Pått","2020-12-06","2020-W49","15"
"Seinäjoenkeskuspuhdistamo","2020-12-06","2020-W49","20"
"Suomenoja","2020-12-06","2020-W49","398"
"Taskila","2020-12-06","2020-W49","148"
"Toikansuo","2020-12-06","2020-W49","15"
"Viikinmäki","2020-12-06","2020-W49","989"
"Viinikanlahti","2020-12-06","2020-W49","100"
"Aggregated","2020-11-29","2020-W48","1 970"
"Alakorkalo","2020-11-29","2020-W48","10"
"Alheda","2020-11-29","2020-W48",".."
"Kakolanmäki","2020-11-29","2020-W48","116"
"Kuhasalo","2020-11-29","2020-W48","35"
"Lehtoniemi","2020-11-29","2020-W48","5"
"Luotsinmäki","2020-11-29","2020-W48","15"
"Mäkikylä","2020-11-29","2020-W48","25"
"Nenäinniemi","2020-11-29","2020-W48","81"
"Paroinen","2020-11-29","2020-W48","15"
"Pått","2020-11-29","2020-W48",".."
"Seinäjoenkeskuspuhdistamo","2020-11-29","2020-W48","10"
"Suomenoja","2020-11-29","2020-W48","406"
"Taskila","2020-11-29","2020-W48","220"
"Toikansuo","2020-11-29","2020-W48","10"
"Viikinmäki","2020-11-29","2020-W48","1 013"
"Viinikanlahti","2020-11-29","2020-W48","90"
"Aggregated","2020-11-22","2020-W47","1 786"
"Alakorkalo","2020-11-22","2020-W47",".."
"Alheda","2020-11-22","2020-W47","10"
"Kakolanmäki","2020-11-22","2020-W47","82"
"Kuhasalo","2020-11-22","2020-W47","51"
"Lehtoniemi","2020-11-22","2020-W47","13"
"Luotsinmäki","2020-11-22","2020-W47","7"
"Mäkikylä","2020-11-22","2020-W47","22"
"Nenäinniemi","2020-11-22","2020-W47","52"
"Paroinen","2020-11-22","2020-W47","7"
"Pått","2020-11-22","2020-W47","8"
"Seinäjoenkeskuspuhdistamo","2020-11-22","2020-W47",".."
"Suomenoja","2020-11-22","2020-W47","425"
"Taskila","2020-11-22","2020-W47","86"
"Toikansuo","2020-11-22","2020-W47","6"
"Viikinmäki","2020-11-22","2020-W47","995"
"Viinikanlahti","2020-11-22","2020-W47","75"
"Aggregated","2020-11-15","2020-W46","1 093"
"Alakorkalo","2020-11-15","2020-W46",".."
"Alheda","2020-11-15","2020-W46","16"
"Kakolanmäki","2020-11-15","2020-W46","111"
"Kuhasalo","2020-11-15","2020-W46","5"
"Lehtoniemi","2020-11-15","2020-W46","8"
"Luotsinmäki","2020-11-15","2020-W46","7"
"Mäkikylä","2020-11-15","2020-W46","19"
"Nenäinniemi","2020-11-15","2020-W46","18"
"Paroinen","2020-11-15","2020-W46",".."
"Pått","2020-11-15","2020-W46","9"
"Seinäjoenkeskuspuhdistamo","2020-11-15","2020-W46",".."
"Suomenoja","2020-11-15","2020-W46","284"
"Taskila","2020-11-15","2020-W46","42"
"Toikansuo","2020-11-15","2020-W46",".."
"Viikinmäki","2020-11-15","2020-W46","575"
"Viinikanlahti","2020-11-15","2020-W46","42"
"Aggregated","2020-11-08","2020-W45","982"
"Alakorkalo","2020-11-08","2020-W45","12"
"Alheda","2020-11-08","2020-W45","9"
"Kakolanmäki","2020-11-08","2020-W45","115"
"Kuhasalo","2020-11-08","2020-W45","8"
"Lehtoniemi","2020-11-08","2020-W45","22"
"Luotsinmäki","2020-11-08","2020-W45","9"
"Mäkikylä","2020-11-08","2020-W45","12"
"Nenäinniemi","2020-11-08","2020-W45","14"
"Paroinen","2020-11-08","2020-W45",".."
"Pått","2020-11-08","2020-W45",".."
"Seinäjoenkeskuspuhdistamo","2020-11-08","2020-W45",".."
"Suomenoja","2020-11-08","2020-W45","284"
"Taskila","2020-11-08","2020-W45","50"
"Toikansuo","2020-11-08","2020-W45",".."
"Viikinmäki","2020-11-08","2020-W45","454"
"Viinikanlahti","2020-11-08","2020-W45","33"
"Aggregated","2020-11-01","2020-W44","912"
"Alakorkalo","2020-11-01","2020-W44","22"
"Alheda","2020-11-01","2020-W44","29"
"Kakolanmäki","2020-11-01","2020-W44","119"
"Kuhasalo","2020-11-01","2020-W44",".."
"Lehtoniemi","2020-11-01","2020-W44","15"
"Luotsinmäki","2020-11-01","2020-W44","8"
"Mäkikylä","2020-11-01","2020-W44","33"
"Nenäinniemi","2020-11-01","2020-W44","32"
"Paroinen","2020-11-01","2020-W44","14"
"Pått","2020-11-01","2020-W44","7"
"Seinäjoenkeskuspuhdistamo","2020-11-01","2020-W44",".."
"Suomenoja","2020-11-01","2020-W44","255"
"Taskila","2020-11-01","2020-W44","65"
"Toikansuo","2020-11-01","2020-W44","9"
"Viikinmäki","2020-11-01","2020-W44","385"
"Viinikanlahti","2020-11-01","2020-W44","31"
"Aggregated","2020-10-25","2020-W43","793"
"Alakorkalo","2020-10-25","2020-W43","15"
"Alheda","2020-10-25","2020-W43","14"
"Kakolanmäki","2020-10-25","2020-W43","62"
"Kuhasalo","2020-10-25","2020-W43",".."
"Lehtoniemi","2020-10-25","2020-W43","35"
"Luotsinmäki","2020-10-25","2020-W43","5"
"Mäkikylä","2020-10-25","2020-W43","24"
"Nenäinniemi","2020-10-25","2020-W43","41"
"Paroinen","2020-10-25","2020-W43","14"
"Pått","2020-10-25","2020-W43","19"
"Seinäjoenkeskuspuhdistamo","2020-10-25","2020-W43",".."
"Suomenoja","2020-10-25","2020-W43","168"
"Taskila","2020-10-25","2020-W43","69"
"Toikansuo","2020-10-25","2020-W43","8"
"Viikinmäki","2020-10-25","2020-W43","368"
"Viinikanlahti","2020-10-25","2020-W43","29"
"Aggregated","2020-10-18","2020-W42","854"
"Alakorkalo","2020-10-18","2020-W42","8"
"Alheda","2020-10-18","2020-W42","12"
"Kakolanmäki","2020-10-18","2020-W42","55"
"Kuhasalo","2020-10-18","2020-W42","5"
"Lehtoniemi","2020-10-18","2020-W42","7"
"Luotsinmäki","2020-10-18","2020-W42",".."
"Mäkikylä","2020-10-18","2020-W42","11"
"Nenäinniemi","2020-10-18","2020-W42","78"
"Paroinen","2020-10-18","2020-W42","9"
"Pått","2020-10-18","2020-W42","86"
"Seinäjoenkeskuspuhdistamo","2020-10-18","2020-W42","5"
"Suomenoja","2020-10-18","2020-W42","149"
"Taskila","2020-10-18","2020-W42","18"
"Toikansuo","2020-10-18","2020-W42",".."
"Viikinmäki","2020-10-18","2020-W42","410"
"Viinikanlahti","2020-10-18","2020-W42","45"
"Aggregated","2020-10-11","2020-W41","1 130"
"Alakorkalo","2020-10-11","2020-W41","9"
"Alheda","2020-10-11","2020-W41","12"
"Kakolanmäki","2020-10-11","2020-W41","66"
"Kuhasalo","2020-10-11","2020-W41","14"
"Lehtoniemi","2020-10-11","2020-W41","5"
"Luotsinmäki","2020-10-11","2020-W41",".."
"Mäkikylä","2020-10-11","2020-W41",".."
"Nenäinniemi","2020-10-11","2020-W41","75"
"Paroinen","2020-10-11","2020-W41","19"
"Pått","2020-10-11","2020-W41","288"
"Seinäjoenkeskuspuhdistamo","2020-10-11","2020-W41","13"
"Suomenoja","2020-10-11","2020-W41","171"
"Taskila","2020-10-11","2020-W41","12"
"Toikansuo","2020-10-11","2020-W41",".."
"Viikinmäki","2020-10-11","2020-W41","462"
"Viinikanlahti","2020-10-11","2020-W41","37"
"Aggregated","2020-10-04","2020-W40","750"
"Alakorkalo","2020-10-04","2020-W40","8"
"Alheda","2020-10-04","2020-W40",".."
"Kakolanmäki","2020-10-04","2020-W40","49"
"Kuhasalo","2020-10-04","2020-W40","16"
"Lehtoniemi","2020-10-04","2020-W40","8"
"Luotsinmäki","2020-10-04","2020-W40",".."
"Mäkikylä","2020-10-04","2020-W40",".."
"Nenäinniemi","2020-10-04","2020-W40","16"
"Paroinen","2020-10-04","2020-W40","18"
"Pått","2020-10-04","2020-W40","140"
"Seinäjoenkeskuspuhdistamo","2020-10-04","2020-W40","7"
"Suomenoja","2020-10-04","2020-W40","114"
"Taskila","2020-10-04","2020-W40","18"
"Toikansuo","2020-10-04","2020-W40","5"
"Viikinmäki","2020-10-04","2020-W40","360"
"Viinikanlahti","2020-10-04","2020-W40","29"
"Aggregated","2020-09-27","2020-W39","459"
"Alakorkalo","2020-09-27","2020-W39",".."
"Alheda","2020-09-27","2020-W39",".."
"Kakolanmäki","2020-09-27","2020-W39","17"
"Kuhasalo","2020-09-27","2020-W39","6"
"Lehtoniemi","2020-09-27","2020-W39","14"
"Luotsinmäki","2020-09-27","2020-W39",".."
"Mäkikylä","2020-09-27","2020-W39",".."
"Nenäinniemi","2020-09-27","2020-W39","39"
"Paroinen","2020-09-27","2020-W39",".."
"Pått","2020-09-27","2020-W39","8"
"Seinäjoenkeskuspuhdistamo","2020-09-27","2020-W39",".."
"Suomenoja","2020-09-27","2020-W39","84"
"Taskila","2020-09-27","2020-W39","5"
"Toikansuo","2020-09-27","2020-W39","5"
"Viikinmäki","2020-09-27","2020-W39","267"
"Viinikanlahti","2020-09-27","2020-W39","18"
"Aggregated","2020-09-20","2020-W38","288"
"Alakorkalo","2020-09-20","2020-W38",".."
"Alheda","2020-09-20","2020-W38",".."
"Kakolanmäki","2020-09-20","2020-W38","19"
"Kuhasalo","2020-09-20","2020-W38",".."
"Lehtoniemi","2020-09-20","2020-W38","5"
"Luotsinmäki","2020-09-20","2020-W38",".."
"Mäkikylä","2020-09-20","2020-W38",".."
"Nenäinniemi","2020-09-20","2020-W38","47"
"Paroinen","2020-09-20","2020-W38","19"
"Pått","2020-09-20","2020-W38",".."
"Seinäjoenkeskuspuhdistamo","2020-09-20","2020-W38",".."
"Suomenoja","2020-09-20","2020-W38","52"
"Taskila","2020-09-20","2020-W38",".."
"Toikansuo","2020-09-20","2020-W38",".."
"Viikinmäki","2020-09-20","2020-W38","140"
"Viinikanlahti","2020-09-20","2020-W38","21"
"Aggregated","2020-09-13","2020-W37","167"
"Alakorkalo","2020-09-13","2020-W37",".."
"Alheda","2020-09-13","2020-W37",".."
"Kakolanmäki","2020-09-13","2020-W37","20"
"Kuhasalo","2020-09-13","2020-W37",".."
"Lehtoniemi","2020-09-13","2020-W37",".."
"Luotsinmäki","2020-09-13","2020-W37",".."
"Mäkikylä","2020-09-13","2020-W37","7"
"Nenäinniemi","2020-09-13","2020-W37","19"
"Paroinen","2020-09-13","2020-W37","8"
"Pått","2020-09-13","2020-W37",".."
"Seinäjoenkeskuspuhdistamo","2020-09-13","2020-W37",".."
"Suomenoja","2020-09-13","2020-W37","40"
"Taskila","2020-09-13","2020-W37",".."
"Toikansuo","2020-09-13","2020-W37",".."
"Viikinmäki","2020-09-13","2020-W37","77"
"Viinikanlahti","2020-09-13","2020-W37","6"
"Aggregated","2020-09-06","2020-W36","154"
"Alakorkalo","2020-09-06","2020-W36",".."
"Alheda","2020-09-06","2020-W36",".."
"Kakolanmäki","2020-09-06","2020-W36","6"
"Kuhasalo","2020-09-06","2020-W36",".."
"Lehtoniemi","2020-09-06","2020-W36",".."
"Luotsinmäki","2020-09-06","2020-W36",".."
"Mäkikylä","2020-09-06","2020-W36",".."
"Nenäinniemi","2020-09-06","2020-W36","22"
"Paroinen","2020-09-06","2020-W36",".."
"Pått","2020-09-06","2020-W36",".."
"Seinäjoenkeskuspuhdistamo","2020-09-06","2020-W36",".."
"Suomenoja","2020-09-06","2020-W36","38"
"Taskila","2020-09-06","2020-W36",".."
"Toikansuo","2020-09-06","2020-W36",".."
"Viikinmäki","2020-09-06","2020-W36","66"
"Viinikanlahti","2020-09-06","2020-W36","14"
"Aggregated","2020-08-30","2020-W35","107"
"Alakorkalo","2020-08-30","2020-W35",".."
"Alheda","2020-08-30","2020-W35",".."
"Kakolanmäki","2020-08-30","2020-W35","14"
"Kuhasalo","2020-08-30","2020-W35",".."
"Lehtoniemi","2020-08-30","2020-W35",".."
"Luotsinmäki","2020-08-30","2020-W35",".."
"Mäkikylä","2020-08-30","2020-W35",".."
"Nenäinniemi","2020-08-30","2020-W35","8"
"Paroinen","2020-08-30","2020-W35",".."
"Pått","2020-08-30","2020-W35",".."
"Seinäjoenkeskuspuhdistamo","2020-08-30","2020-W35",".."
"Suomenoja","2020-08-30","2020-W35","23"
"Taskila","2020-08-30","2020-W35",".."
"Toikansuo","2020-08-30","2020-W35",".."
"Viikinmäki","2020-08-30","2020-W35","52"
"Viinikanlahti","2020-08-30","2020-W35",".."
"Aggregated","2020-08-23","2020-W34","136"
"Alakorkalo","2020-08-23","2020-W34",".."
"Alheda","2020-08-23","2020-W34",".."
"Kakolanmäki","2020-08-23","2020-W34","15"
"Kuhasalo","2020-08-23","2020-W34",".."
"Lehtoniemi","2020-08-23","2020-W34",".."
"Luotsinmäki","2020-08-23","2020-W34",".."
"Mäkikylä","2020-08-23","2020-W34",".."
"Nenäinniemi","2020-08-23","2020-W34","11"
"Paroinen","2020-08-23","2020-W34",".."
"Pått","2020-08-23","2020-W34",".."
"Seinäjoenkeskuspuhdistamo","2020-08-23","2020-W34",".."
"Suomenoja","2020-08-23","2020-W34","41"
"Taskila","2020-08-23","2020-W34",".."
"Toikansuo","2020-08-23","2020-W34",".."
"Viikinmäki","2020-08-23","2020-W34","62"
"Viinikanlahti","2020-08-23","2020-W34",".."
"Aggregated","2020-08-16","2020-W33","123"
"Alakorkalo","2020-08-16","2020-W33",".."
"Alheda","2020-08-16","2020-W33",".."
"Kakolanmäki","2020-08-16","2020-W33","15"
"Kuhasalo","2020-08-16","2020-W33",".."
"Lehtoniemi","2020-08-16","2020-W33",".."
"Luotsinmäki","2020-08-16","2020-W33",".."
"Mäkikylä","2020-08-16","2020-W33",".."
"Nenäinniemi","2020-08-16","2020-W33","5"
"Paroinen","2020-08-16","2020-W33",".."
"Pått","2020-08-16","2020-W33",".."
"Seinäjoenkeskuspuhdistamo","2020-08-16","2020-W33",".."
"Suomenoja","2020-08-16","2020-W33","38"
"Taskila","2020-08-16","2020-W33",".."
"Toikansuo","2020-08-16","2020-W33",".."
"Viikinmäki","2020-08-16","2020-W33","56"
"Viinikanlahti","2020-08-16","2020-W33",".."
"Aggregated","2020-08-09","2020-W32","118"
"Alakorkalo","2020-08-09","2020-W32",".."
"Alheda","2020-08-09","2020-W32",".."
"Kakolanmäki","2020-08-09","2020-W32","19"
"Kuhasalo","2020-08-09","2020-W32",".."
"Lehtoniemi","2020-08-09","2020-W32",".."
"Luotsinmäki","2020-08-09","2020-W32",".."
"Mäkikylä","2020-08-09","2020-W32",".."
"Nenäinniemi","2020-08-09","2020-W32",".."
"Paroinen","2020-08-09","2020-W32",".."
"Pått","2020-08-09","2020-W32",".."
"Seinäjoenkeskuspuhdistamo","2020-08-09","2020-W32",".."
"Suomenoja","2020-08-09","2020-W32","41"
"Taskila","2020-08-09","2020-W32",".."
"Toikansuo","2020-08-09","2020-W32",".."
"Viikinmäki","2020-08-09","2020-W32","50"
"Viinikanlahti","2020-08-09","2020-W32",".."
